Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
917,Volleyball,Sports,,NES,Nintendo,Nintendo R&D1,,,2.15,,,,,,1987
918,Banished,Misc,,PC,Falcom,Unknown,,,2.15,,,,,,2014
919,Mahjong,Misc,,NES,Nintendo,Nintendo,,,2.14,,,,,,1983
920,Mario & Sonic at the Olympic Games,Sports,E,Wii,Sega,Sega,7.2,,2.14,,,,,,2007
921,R.C. Pro-Am,Racing,,NES,Nintendo,Rare Ltd.,,,2.14,,,,,,1988
922,SimCity 2000,Simulation,E,PC,Maxis,Maxis,8,,,2.14,1.2,0.84,,0.1,1993
923,Super Mario RPG: Legend of the Seven Stars,Role-Playing,E,SNES,Nintendo,SquareSoft,,,2.14,,,,,,1996
924,Call of Duty: Roads to Victory,Shooter,T,PSP,Activision,Amaze Entertainment,6.1,,,2.14,0.52,1.03,,0.59,2007
925,Demon Attack,Shooter,,2600,Imagic,Imagic,,,,2.13,1.99,0.12,,0.02,1982
926,Dance Dance Revolution Extreme,Simulation,E,PS2,Konami,Konami Computer Entertainment Tokyo,,,,2.13,1.04,0.81,,0.27,2004
927,NBA 2K12,Sports,E,PS3,2K Sports,Visual Concepts,9,,,2.13,1.62,0.27,0.05,0.18,2011
928,Borderlands,Shooter,M,PS3,2K Games,Gearbox Software,8.2,,,2.12,1.22,0.61,,0.29,2009
929,Mortal Kombat (2011),Fighting,M,X360,Warner Bros. Interactive Entertainment,NetherRealm Studios,8.6,,,2.12,1.64,0.31,,0.17,2011
930,Project Gotham Racing,Racing,E,XB,Microsoft,Bizarre Creations,8.4,,,2.12,1.37,0.61,0.05,0.09,2001
931,Golf,Sports,E,GB,Nintendo,Nintendo,,,2.12,,,,,,1990
932,NBA 2K11,Sports,E,X360,2K Sports,Visual Concepts,8.8,,,2.11,1.86,0.12,0.01,0.13,2010
933,Tony Hawk's Pro Skater,Sports,E,N64,Activision,Edge of Reality,9.3,,,2.11,1.68,0.4,,0.03,2000
934,PES 2009: Pro Evolution Soccer,Sports,E,PS3,Konami,Konami,7.7,,,2.11,0.11,1.34,0.4,0.26,2008
